id_device,id_user,device_type,device_brand,device_model
1,3048,1,4,12
2,2922,1,6,16
3,496,1,11,4
4,1028,1,12,7
5,2362,1,9,22
6,1711,1,8,15
7,2772,1,11,1
8,3827,1,2,3
9,3691,1,0,0
10,190,1,0,0
11,2288,1,0,0
12,1898,1,10,7
13,3033,1,0,0
14,745,1,0,0
15,3133,1,0,0
16,645,1,6,11
17,3894,1,0,0
18,642,1,0,0
19,970,1,9,20
20,3675,1,0,0
21,2705,1,8,15
22,3744,1,7,2
23,3579,1,5,7
24,1410,1,0,0
25,545,1,10,19
26,1004,1,11,6
27,3815,1,0,0
28,217,1,9,11
29,3004,1,0,0
30,3534,1,11,23
31,3439,1,0,0
32,453,1,9,24
33,1799,1,0,0
34,3905,1,11,6
35,574,1,10,15
36,1534,1,7,13
37,207,1,9,6
38,1398,1,11,19
39,3725,1,5,9
40,2161,1,1,11
41,2356,1,5,16
42,3647,1,11,9
43,3733,1,0,0
44,2958,1,7,20
45,3614,1,8,12
46,2333,1,0,0
47,2913,1,0,0
48,470,1,0,0
49,3447,1,6,23
50,390,1,5,16
51,2880,1,4,11
52,550,1,1,19
53,3453,1,8,6
54,3822,1,11,16
55,2640,1,12,19
56,406,1,0,0
57,2361,1,10,7
58,2656,1,9,12
59,3594,1,8,9
60,1859,1,1,20
61,1883,1,0,0
62,427,1,0,0
63,3954,1,11,14
64,115,1,0,0
65,104,1,4,5
66,3932,1,7,16
67,3403,1,1,18
68,3183,1,12,9
69,505,1,4,12
70,3334,1,3,22
71,2549,1,0,0
72,2258,1,11,18
73,838,1,3,8
74,403,1,7,17
75,979,1,10,1
76,3659,1,0,0
77,1853,1,0,0
78,3371,1,4,21
79,3959,1,4,13
80,2838,1,4,1
81,955,1,3,6
82,1430,1,2,14
83,3886,1,12,8
84,2393,1,0,0
85,3036,1,0,0
86,1739,1,7,2
87,460,1,8,15
88,1188,1,0,0
89,2514,1,7,22
90,3866,1,0,0
91,1832,1,8,5
92,3333,1,0,0
93,303,1,0,0
94,2745,1,0,0
95,1825,1,0,0
96,3114,1,4,21
97,302,1,4,1
98,960,1,2,3
99,602,1,8,11
100,2654,1,6,20
101,3983,1,3,9
102,140,1,0,0
103,2592,1,4,2
104,965,1,0,0
105,1275,1,12,10
106,762,1,0,0
107,1718,1,11,5
108,3527,1,11,21
109,2965,1,0,0
110,3404,1,7,22
111,2422,1,10,16
112,2133,1,7,19
113,1425,1,9,18
114,555,1,5,22
115,1195,1,8,11
116,2432,1,0,0
117,3285,1,3,13
118,593,1,10,14
119,2477,1,12,16
120,2211,1,1,19
121,2856,1,6,2
122,2060,1,0,0
123,3982,1,7,1
124,2946,1,11,22
125,2411,1,3,9
126,1724,1,7,6
127,368,1,9,11
128,1470,1,0,0
129,2740,1,2,1
130,3526,1,0,0
131,2250,1,3,7
132,3629,1,0,0
133,3487,1,5,10
134,1628,1,3,23
135,265,1,9,24
136,824,1,7,21
137,1787,1,2,3
138,1321,1,0,0
139,3716,1,8,10
140,932,1,5,20
141,3177,1,4,24
142,1561,1,6,14
143,1251,1,8,18
144,415,1,9,6
145,2330,1,0,0
146,1377,1,11,8
147,2380,1,12,17
148,996,1,3,22
149,1262,1,0,0
150,3771,1,0,0
151,163,1,9,5
152,3910,1,9,6
153,2928,1,12,15
154,3397,1,1,16
155,3338,1,12,20
156,1420,1,5,17
157,3477,1,2,10
158,2375,1,0,0
159,3963,1,6,9
160,3189,1,0,0
161,1067,1,7,11
162,1809,1,0,0
163,1604,1,0,0
164,1132,1,6,8
165,3224,1,0,0
166,842,1,0,0
167,2930,1,0,0
168,3950,1,12,23
169,3075,1,2,19
170,2845,1,1,15
171,3278,1,5,14
172,1830,1,0,0
173,1414,1,0,0
174,3379,1,10,13
175,3206,1,10,10
176,3415,1,2,18
177,461,1,11,1
178,116,1,3,5
179,973,1,9,21
180,2531,1,0,0
181,1423,1,3,10
182,2806,1,7,6
183,3995,1,6,6
184,2202,1,6,6
185,355,1,1,4
186,3029,1,11,17
187,3276,1,3,21
188,1422,1,8,7
189,167,1,7,13
190,1551,1,1,11
191,3024,1,0,0
192,3855,1,3,13
193,1386,1,2,8
194,812,1,3,8
195,442,1,12,17
196,2386,1,11,24
197,1279,1,2,13
198,2034,1,12,16
199,2528,1,5,2
200,920,1,0,0
201,583,1,4,10
202,1769,1,6,18
203,3704,1,4,8
204,2207,1,0,0
205,2298,1,0,0
206,2878,1,7,14
207,3346,1,0,0
208,337,1,2,4
209,2962,1,0,0
210,1412,1,0,0
211,942,1,6,16
212,3413,1,9,24
213,3233,1,3,8
214,3391,1,7,22
215,805,1,2,16
216,3844,1,8,18
217,2954,1,10,23
218,376,1,11,11
219,313,1,1,16
220,3433,1,9,11
221,3914,1,2,3
222,1866,1,0,0
223,2136,1,0,0
224,424,1,0,0
225,3149,1,11,22
226,2488,1,10,10
227,552,1,4,12
228,1066,1,6,8
229,880,1,7,9
230,2781,1,0,0
231,615,1,8,13
232,1760,1,1,8
233,3422,1,8,16
234,2325,1,11,23
235,3784,1,8,16
236,3931,1,8,10
237,930,1,11,15
